Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Stack permutations,Hard,"Given input [1,2,3,4], which of the following permutations requires the largest stack size?","1,2,3,4","4,3,2,1","2,3,4,1","1,3,2,4",B
Stack permutations,Hard,"In the simulation algorithm, if the next output element is found in the stack but not at the top, what does this indicate?","The permutation is valid, just push more",The permutation is invalid,We need to pop from bottom,We need to reverse the stack,B
Stack permutations,Hard,What is the relationship between stack permutations and permutation patterns avoidance?,Stack permutations avoid the pattern 231,Stack permutations avoid the pattern 312,Stack permutations avoid the pattern 123,Stack permutations avoid the pattern 321,B
Stack permutations,Hard,"Which of the following permutations of [1,2,3,4] avoids the forbidden pattern and is therefore a valid stack permutation?","3,1,4,2","2,4,1,3","3,2,1,4","4,1,3,2",C
Stack permutations,Hard,"Given input [1,2,3,4], what is the total number of valid stack permutations?",12,14,16,24,B
Stack permutations,Hard,"In the recursive formulation, the number of stack permutations S(n) can be expressed as:",S(n) = S(n-1) + S(n-2),S(n) = sum(S(k-1) * S(n-k)) for k=1..n,S(n) = n * S(n-1),S(n) = 2^n - 1,B
Stack permutations,Hard,What is the probability that a random permutation of n elements is a valid stack permutation as n approaches infinity?,0,0.5,1,Approaches 1/e,A
Stack permutations,Hard,"In the simulation algorithm, if input is [1,2,3,4] and output is [2,4,3,1], what is the sequence of pushes and pops?","push1, push2, pop2, push3, push4, pop4, pop3, pop1","push1, push2, pop2, push3, pop3, push4, pop4, pop1","push1, push2, pop2, push3, push4, pop3, pop4, pop1","push1, push2, pop2, push3, pop3, pop4, pop1, push4",A
Stack permutations,Hard,Which of the following statements is true about stack permutations?,Every permutation is a stack permutation,Stack permutations are a subset of all permutations,Stack permutations are the same as permutations sortable by a queue,No permutation of length > 2 is a stack permutation,B
Stack permutations,Hard,How does the concept of stack permutations relate to railroad switching problems?,It models the same problem of rearranging cars using a siding track,It is unrelated,It models train collisions,It models train scheduling with multiple tracks,A
Max Sliding Window,Easy,"In the ""Maximum of all subarrays of size k"" (Sliding Window Maximum) problem, what is k?",The number of elements in the array,The size of the sliding window,The maximum value in the array,The number of queries,B
Max Sliding Window,Easy,"Given an array [1,3,-1,-3,5,3,6,7] and k=3, what is the first window's maximum?",1,3,-1,5,B
Max Sliding Window,Easy,What is the brute force time complexity to solve the Sliding Window Maximum problem for an array of size n and window size k?,O(n),O(n log k),O(n * k),O(k),C
Max Sliding Window,Easy,Which data structure is most commonly used to solve the Sliding Window Maximum problem efficiently?,Stack,Queue,Deque (Double-ended queue),Priority Queue,C
Max Sliding Window,Easy,"In the efficient deque-based solution, what order are elements maintained in the deque?",Increasing order of values,Decreasing order of values,Order of indices,Random order,B
Max Sliding Window,Easy,"In the deque-based solution, what does the front of the deque represent?",The smallest element in current window,The index of the maximum element for the current window,The newest element in the window,The oldest element in the window,B
Max Sliding Window,Easy,What is the time complexity of the efficient deque-based solution?,O(n * k),O(n log k),O(n),O(k),C
Max Sliding Window,Easy,What is the space complexity of the deque-based solution (excluding output array)?,O(1),O(k),O(n),O(log k),B
Max Sliding Window,Easy,"In the sliding window maximum problem, if k=1, what are the outputs?",The array itself,The maximum of the array,An empty array,The first element only,A
Max Sliding Window,Easy,"If the array is sorted in decreasing order, what is the maximum of each window of size k?",The first element of each window,The last element of each window,The middle element of each window,It varies,A
Max Sliding Window,Medium,"In the deque-based algorithm, when do you remove elements from the front of the deque?",When they are smaller than current element,When their index is out of the current window,When they are larger than current element,At regular intervals,B
Max Sliding Window,Medium,"In the deque-based algorithm, when do you remove elements from the back of the deque?",When they are out of window,When they are smaller than or equal to the current element,When they are larger than the current element,Never,B
Max Sliding Window,Medium,"Given array [2,5,3,8,6,1] and k=3, what is the deque's state after processing the first 3 elements (index 0,1,2)?","[5,3] (indices)","[5,3,8]","[2,5,3]","[3,8]",A
Max Sliding Window,Medium,"In the deque-based solution, what is stored in the deque?",Actual values,Indices of elements,Both values and indices,Only the maximum value,B
Max Sliding Window,Medium,Why are indices stored in the deque instead of values?,To save memory,To easily check if an element is out of the current window,To make comparisons faster,Because values cannot be stored in a deque,B
Max Sliding Window,Medium,"For array [1,3,1,2,0,5] and k=3, what is the output array?","[3,3,2,5]","[3,3,2,5,5]","[1,3,3,2,5]","[3,1,2,0,5]",A
Max Sliding Window,Medium,What is the output if k > n (window size larger than array)?,Empty array,Array with one element (maximum of whole array),Error,Array of size n,B
Max Sliding Window,Medium,Which of the following problems is a variation of Sliding Window Maximum?,Finding minimum in sliding window,Finding median in sliding window,Finding average in sliding window,All of the above,D
Max Sliding Window,Medium,"In the deque approach, how many times is each element pushed and popped?",Once each,"Twice each (once push, once pop)",k times,n times,B
Max Sliding Window,Medium,"If we use a max-heap (priority queue) to solve this problem, what would be the time complexity?",O(n log k),O(n),O(nk),O(k log n),A
Max Sliding Window,Hard,"In the deque algorithm, why is it correct to remove elements from the back that are smaller than the current element?",Because they will never be needed again as they are smaller and come earlier,Because they are out of the window,Because we only need the maximum,To save space,A
Max Sliding Window,Hard,"Given an array of size n and window size k, how many windows are there?",n,n - k + 1,n - k,k,B
Max Sliding Window,Hard,What is the maximum number of elements that can be in the deque at any time?,k,n,k+1,n-k+1,A
Max Sliding Window,Hard,How would you modify the algorithm to find the minimum in each sliding window?,Reverse the comparison (remove from back when larger than current),Use a min-heap instead,Store elements in increasing order in deque,Both A and C,D
Max Sliding Window,Hard,"For a stream of data (infinite array), which approach is best suited for sliding window maximum?",Deque-based approach,Max-heap approach,Brute force,Cannot be done,A
Max Sliding Window,Hard,What is the space complexity of the deque approach if the input is a stream and we don't store the entire array?,O(k),O(n),O(1),Depends on stream length,A
Max Sliding Window,Hard,"Consider array [4,3,2,1,5,4,3,2] and k=3. After processing index 4 (value 5), what indices are in the deque?",[4],"[4,5]","[3,4]","[2,3,4]",A
Max Sliding Window,Hard,How does the sliding window maximum problem change if the array is circular?,No change,We need to consider n windows of size k,We need to handle wrap-around,It becomes impossible,C
Max Sliding Window,Hard,"For an array with all equal elements, what is the size of the deque throughout the algorithm?",1,k,n,Depends on the value,A
Recover the BST,Easy,What does BST stand for?,Binary Search Tree,Balanced Search Tree,Binary Sort Tree,Basic Search Tree,A
Recover the BST,Easy,What is the key property of a Binary Search Tree (BST)?,Left child < Parent < Right child,Left child > Parent > Right child,Left child = Parent = Right child,No specific order,A
Recover the BST,Easy,"In the ""Recover BST"" problem, what is wrong with the tree?",It is unbalanced,Two nodes have been swapped by mistake,It has a cycle,It is empty,B
Recover the BST,Easy,How many nodes are incorrectly placed in a BST that needs recovery?,One,Two,Three,It varies,B
Recover the BST,Easy,Which traversal of a BST gives nodes in sorted order?,Preorder,Inorder,Postorder,Level order,B
Recover the BST,Easy,"If two nodes are swapped in a BST, what happens to the inorder traversal?",It becomes reverse sorted,It will have exactly two elements out of place,It remains sorted,It becomes random,B
Recover the BST,Easy,What is the time complexity of the brute force approach to recover a BST (sort and reconstruct)?,O(n),O(n log n),O(n^2),O(log n),B
Recover the BST,Easy,What is the space complexity of the brute force approach (inorder store and sort)?,O(1),O(log n),O(n),O(n log n),C
Recover the BST,Easy,"In the efficient Morris traversal-based solution, what is the space complexity?",O(n),O(log n),O(1),O(n log n),C
Recover the BST,Easy,"After recovering a BST by swapping the two nodes back, what property is restored?",Tree is balanced,Inorder traversal is sorted,Tree is complete,Tree is full,B
Recover the BST,Medium,"In the inorder traversal of a BST with two swapped nodes, how many times will we find a pair where previous > current?",Always 1,Always 2,Either 1 or 2,0,C
Recover the BST,Medium,"If the swapped nodes are adjacent in inorder traversal, how many violations are detected?",0,1,2,3,B
Recover the BST,Medium,"If the swapped nodes are NOT adjacent in inorder traversal, how many violations are detected?",1,2,3,4,B
Recover the BST,Medium,"In the violation detection during inorder traversal, when you find prev > current, what does the 'prev' node represent?",The first misplaced node,The second misplaced node,One of the misplaced nodes,A correctly placed node,C
Recover the BST,Medium,"In the violation detection during inorder traversal, when you find prev > current, what does the 'current' node represent?",The first misplaced node,The second misplaced node,One of the misplaced nodes,A correctly placed node,C
Recover the BST,Medium,"Given an inorder traversal [1,3,2,4] of a BST with swapped nodes, which nodes are swapped?",1 and 2,3 and 2,3 and 4,1 and 4,B
Recover the BST,Medium,"Given an inorder traversal [1,4,3,2,5] of a BST with swapped nodes, which nodes are swapped?",4 and 2,3 and 2,4 and 3,1 and 5,A
Recover the BST,Medium,"After identifying two nodes 'first' and 'second' that are misplaced, how do you recover the BST?",Delete both and reinsert,Swap the values of the two nodes,Swap their positions in the tree,Rebuild the entire tree,B
Recover the BST,Medium,What is the advantage of using Morris traversal for this problem?,It is recursive,It uses O(1) extra space,It is faster than other methods,It works only on balanced trees,B
Recover the BST,Medium,"In a recursive inorder traversal approach for recovering BST, what contributes to space complexity?",The input tree,The recursion stack,The swapped nodes,The output,B
Recover the BST,Hard,"In the Morris traversal algorithm, what is the purpose of creating temporary links (threads)?",To enable backtracking without stack,To store the swapped nodes,To balance the tree,To sort the tree,A
Recover the BST,Hard,"If the BST has duplicate values, can the standard recovery algorithm still work?","Yes, without any changes","No, it fails because inorder property becomes ambiguous","Yes, but only if duplicates are allowed in BST",It depends on the tree structure,B
Recover the BST,Hard,What is the worst-case time complexity of recovering a BST using the Morris traversal approach?,O(n),O(n log n),O(n^2),O(log n),A
Recover the BST,Hard,"In a BST where the two swapped nodes are in different subtrees, how many pointers need to be swapped to recover the tree?",1,2,3,"1, 3, 1900",D
Recover the BST,Hard,Consider a BST where the root and a leaf are swapped. How many violations will appear in inorder traversal?,1,2,3,4,B
Recover the BST,Hard,"If we use a recursive approach with explicit stack, what is the worst-case space complexity for a skewed tree?",O(1),O(log n),O(n),O(n log n),C
Recover the BST,Hard,"In the one-pass algorithm using inorder traversal, what are the three pointers we need to maintain?","first, middle, last","first, second, prev","prev, curr, next","root, left, right",B
Recover the BST,Hard,How does the algorithm differentiate between adjacent swap and non-adjacent swap cases?,By counting violations,By checking if first and second are consecutive,By comparing values,By tree height,B
Recover the BST,Hard,"After swapping the values of two nodes to recover the BST, what remains unchanged?",The structure of the tree,The inorder traversal,The preorder traversal,The height of the tree,A
Recover the BST,Hard,"If the BST is also an AVL tree (height-balanced), after recovering by swapping node values, is the AVL property automatically preserved?","Yes, because structure is unchanged","No, because swapping values can affect balance","Yes, because AVL property depends only on structure",It depends on the nodes swapped,A
Views of tree,Easy,Which tree traversal is typically used to find the Left View of a binary tree?,Inorder,Preorder,Level Order,Postorder,C
Views of tree,Easy,"In the Left View of a binary tree, which node at each level is visible?",The rightmost node,The leftmost node,The middle node,All nodes,B
Views of tree,Easy,"In the Right View of a binary tree, which node at each level is visible?",The rightmost node,The leftmost node,The middle node,All nodes,A
Views of tree,Easy,What data structure is commonly used to implement Level Order traversal?,Stack,Queue,Array,Heap,B
Views of tree,Easy,"In Top View of a binary tree, what concept is used to determine which nodes are visible?",Node height,Node depth,Horizontal distance from root,Node color,C
Views of tree,Easy,"In Bottom View of a binary tree, which node is selected for each horizontal distance?",The first node encountered,The last node encountered (lowest level),The node with maximum value,The node with minimum value,B
Views of tree,Easy,"In Top View, if two nodes share the same horizontal distance, which one appears in the view?",The one at greater depth,The one at lesser depth (closer to root),Both appear,Neither appears,B
Views of tree,Easy,"What is the time complexity of finding all views (Top, Bottom, Left, Right) using level order traversal?",O(n),O(n log n),O(n^2),O(log n),A
Views of tree,Easy,"In Horizontal View (Level Order), how are nodes at the same level typically displayed?",Left to right,Right to left,Top to bottom,Bottom to top,A
Views of tree,Easy,Which view of a tree requires tracking the horizontal distance of each node from the root?,Left View,Right View,Top View,Level Order View,C
Views of tree,Medium,"For a binary tree, the Left View can be obtained by modifying which traversal to visit the left child first?",Preorder,Inorder,Postorder,Any traversal,A
Views of tree,Medium,"For a binary tree, the Right View can be obtained by modifying which traversal to visit the right child first?",Preorder,Inorder,Postorder,Any traversal,A
Views of tree,Medium,"In the Top View algorithm, what data structure is used to store nodes for each horizontal distance?",Stack,Queue,Hash Map / Dictionary,Array,C
Views of tree,Medium,"Given a tree with root at horizontal distance 0, left child has HD = -1, right child has HD = +1. In Top View, if nodes exist at HD = -2, -1, 0, 1, 2, how many nodes will be in the view?",3,4,5,Depends on tree structure,C
Views of tree,Medium,"In Bottom View, if multiple nodes share the same horizontal distance, which one is selected?",The one with smallest value,The one with largest value,The one at the deepest level,The one closest to root,C
Views of tree,Medium,"For a perfectly balanced binary tree of height h, how many nodes appear in the Left View?",h,h+1,2^h,2^(h+1)-1,B
Views of tree,Medium,"For a skewed tree (all left children), how do the Left View and Level Order traversal compare?",Left View contains more nodes,Level Order contains more nodes,They are identical,They are unrelated,C
Views of tree,Medium,"In Bottom View, if we use a map to store the last node at each horizontal distance, what traversal ensures we process nodes in increasing level order?",Preorder,Inorder,Level Order,Postorder,C
Views of tree,Medium,Which view of a tree requires knowledge of both horizontal distance and level?,Left View,Right View,Top View,Bottom View,D
Views of tree,Medium,What is the space complexity of finding Top View using level order traversal and a map?,O(n),O(log n),O(height),O(width),A
Views of tree,Hard,"In the Top View algorithm using recursion, what additional parameter must be tracked?",Node color,Horizontal distance and level,Node height,Parent pointer,B
Views of tree,Hard,"For a tree with nodes having the same horizontal distance but different vertical levels, how does Bottom View differ from Top View?","Bottom View picks deepest, Top View picks shallowest","Bottom View picks shallowest, Top View picks deepest",Both pick the same node,"Bottom View picks leftmost, Top View picks rightmost",A
Views of tree,Hard,"Given a binary tree, if we print nodes column-wise (same horizontal distance together), which view is this similar to?",Left View,Right View,Vertical Order Traversal,Level Order,C
Views of tree,Hard,"In the Right View of a binary tree, if we use a recursive preorder traversal (root-right-left), how do we know when to add a node to the view?",When level is greater than max_level seen so far,Always add the first node,When node has no right child,When node is a leaf,A
Views of tree,Hard,How does the Bottom View algorithm handle nodes that are at the same horizontal distance and same level?,Pick any one,Pick the leftmost,Pick the rightmost,This cannot happen,A
Views of tree,Hard,"For a tree where all nodes have unique horizontal distances, how many nodes will be in the Top View?",Equal to height,Equal to number of nodes,Equal to number of distinct horizontal distances,Equal to number of levels,C
Views of tree,Hard,"In the Level Order (Horizontal) View, if we want to print nodes level by level in separate lines, what additional data structure might we use?",Two queues,One queue with delimiter,Stack,Array,B
Views of tree,Hard,"What is the minimum number of traversals needed to compute all five views (Top, Bottom, Left, Right, Level Order)?",1,2,3,4,A
Views of tree,Hard,"In the Bottom View, if a node is hidden behind another node at the same horizontal distance but higher level, when does it become visible?",When the higher node is removed,It never becomes visible,It is always visible,When tree is rotated,B
Views of tree,Hard,"For a complete binary tree, which view will have the maximum number of nodes?",Left View,Right View,Top View,Bottom View,D
Vertical order traversal,Easy,"In vertical order traversal of a binary tree, what determines the ""vertical line"" a node belongs to?",Node's depth,Node's value,Horizontal distance from the root,Node's height,C
Vertical order traversal,Easy,What is the horizontal distance of the root node in vertical order traversal?,-1,0,1,Depends on tree,B
Vertical order traversal,Easy,"If a node has horizontal distance = -2, what is the horizontal distance of its left child?",-3,-2,-1,0,A
Vertical order traversal,Easy,"If a node has horizontal distance = 1, what is the horizontal distance of its right child?",0,1,2,3,C
Vertical order traversal,Easy,"In vertical order traversal, nodes are grouped by their:",Level,Horizontal distance,Height,Color,B
Vertical order traversal,Easy,What traversal is typically used to perform vertical order traversal?,Preorder only,Inorder only,Level order (BFS),Postorder only,C
Vertical order traversal,Easy,Which data structure is commonly used to map horizontal distances to lists of nodes?,Stack,Queue,Hash Map / Dictionary,Array,C
Vertical order traversal,Easy,"After grouping nodes by horizontal distance, in what order are nodes within the same vertical line typically printed?",Sorted by value,Sorted by level (top to bottom),Random order,Sorted by horizontal distance,B
Vertical order traversal,Easy,What is the time complexity of vertical order traversal using BFS and a map?,O(n),O(n log n),O(n^2),O(log n),B
Vertical order traversal,Easy,What is the space complexity of vertical order traversal?,O(n),O(log n),O(height),O(1),A
Vertical order traversal,Medium,"In vertical order traversal, if two nodes are in the same vertical line and same level, how are they ordered?",Left child before right child,Right child before left child,Sorted by value,Order doesn't matter,A
Vertical order traversal,Medium,"Given a tree, which of the following is NOT needed for vertical order traversal?",Horizontal distance,Level number,Node value,Node color,D
Vertical order traversal,Medium,How do you find the range of horizontal distances (min and max) in vertical order traversal?,Traverse the tree and track min/max HD,Calculate based on tree height,Assume -n to +n,Use a fixed range,A
Vertical order traversal,Medium,"In the map-based approach, after BFS traversal, what must be done to print nodes in correct vertical order?",Sort the map keys (horizontal distances),Sort the values in each list,Reverse the map,"Nothing, map is already ordered",A
Vertical order traversal,Medium,"For a perfectly balanced binary tree, what is the range of horizontal distances?",#NAME?,#NAME?,-h/2 to h/2,0 to 2h,A
Vertical order traversal,Medium,How does vertical order traversal differ from Top View?,Top View shows one node per HD; Vertical shows all,Vertical shows one node per HD; Top shows all,They are identical,Both show all nodes,A
Vertical order traversal,Medium,"In vertical order traversal, if we use DFS instead of BFS, what additional information must be tracked to maintain correct order within a vertical line?",Node height,Node depth (level),Node value,Parent pointer,B
Vertical order traversal,Medium,"Given root with HD=0, its left child has HD=-1. If left child has a right child, what is its HD?",-2,-1,0,1,C
Vertical order traversal,Medium,"In vertical order traversal output, the vertical lines are printed:",Left to right (increasing HD),Right to left (decreasing HD),Top to bottom,Bottom to top,A
Vertical order traversal,Medium,What problem arises if we use simple DFS without tracking level in vertical order traversal?,Nodes in same vertical line may not be in top-to-bottom order,Horizontal distances will be wrong,Map keys will be duplicated,Tree will be modified,A
Vertical order traversal,Hard,"In vertical order traversal, if two nodes have the same horizontal distance and same level, what determines their relative order?",Their values,Their position in the tree (left/right),Their heights,Random,B
Vertical order traversal,Hard,"How would you implement vertical order traversal that prints nodes from smallest HD to largest HD, and within same HD from top to bottom, and within same level from left to right?","BFS with queue storing (node, HD, level) and map of HD -> list of (level, value) sorted",DFS with inorder traversal,BFS without level tracking,Simple recursion,A
Vertical order traversal,Hard,What is the space complexity if we store both HD and level for each node in the map?,O(n),O(n log n),O(n^2),O(height * width),A
Vertical order traversal,Hard,"For a skewed tree (all left children), what will be the range of horizontal distances?",0 to -n,-n to 0,0 to n,-n/2 to n/2,A
Vertical order traversal,Hard,"In vertical order traversal, if we want to print nodes in the same vertical line from bottom to top instead of top to bottom, how would we modify the algorithm?",Use DFS that goes to leaves first,Reverse the list after traversal,Use stack instead of queue,Change horizontal distance sign,A
Vertical order traversal,Hard,"How does vertical order traversal relate to the concept of ""column-wise"" printing?",It is exactly column-wise printing,It is row-wise printing,It is diagonal printing,No relation,A
Vertical order traversal,Hard,"In a tree with n nodes, what is the maximum possible number of vertical lines?",n,n/2,log n,height,A
Vertical order traversal,Hard,"Given a tree where all nodes have unique horizontal distances, how many vertical lines will be in the output?",1,height,n,n/2,C
Vertical order traversal,Hard,"In vertical order traversal using BFS, why is it important to process nodes level by level?","To ensure that within each vertical line, nodes appear in top-to-bottom order",To calculate horizontal distances correctly,To avoid stack overflow,To reduce time complexity,A
Vertical order traversal,Hard,"If we modify vertical order traversal to also sort nodes within the same vertical line by their values, what would be the new time complexity?",O(n log n),O(n),O(n^2),O(log n),A
Boundary traversal,Easy,"In boundary traversal of a binary tree, which parts of the tree are traversed?",All nodes,"Left boundary, leaves, right boundary",Only leaves,Only root and leaves,B
Boundary traversal,Easy,"In boundary traversal, the left boundary is traversed in which order?",Top-down,Bottom-up,Level order,Random,A
Boundary traversal,Easy,"In boundary traversal, the right boundary is traversed in which order?",Top-down,Bottom-up,Level order,Random,B
Boundary traversal,Easy,"In boundary traversal, the leaf nodes are traversed in which order?",Left to right,Right to left,Top to bottom,Bottom to top,A
Boundary traversal,Easy,What is the first node printed in boundary traversal?,The leftmost leaf,The rightmost leaf,The root,Any boundary node,C
Boundary traversal,Easy,"For a tree with only a root node, what does boundary traversal print?",Nothing,The root only,Error,Left and right boundary,B
Boundary traversal,Easy,"For a left-skewed tree (only left children), what does boundary traversal include?",All nodes (since all are on left boundary or leaves),Only root and leaves,Only left boundary,Only leaves,A
Boundary traversal,Easy,What is the time complexity of boundary traversal?,O(n),O(n log n),O(n^2),O(log n),A
Boundary traversal,Easy,Which traversal is NOT part of boundary traversal?,Preorder,Inorder,Postorder,Level order,D
Boundary traversal,Easy,"In boundary traversal, how are leaf nodes identified?",Nodes with no children,Nodes at maximum depth,Nodes with one child,Nodes on the boundary,A
Boundary traversal,Medium,"In boundary traversal, why is the root not included again when printing leaves?",Root is not a leaf,Root is already printed,Leaves are printed before root,Root has no value,B
Boundary traversal,Medium,What is a potential pitfall when printing the right boundary in bottom-up order?,Including the root again,Including leaf nodes twice,Missing the rightmost leaf,Reversing the order,B
Boundary traversal,Medium,"Given a tree where the left subtree is empty, what does the left boundary consist of?",Nothing (skip),Only the root,The root and its right children,The leaves only,A
Boundary traversal,Medium,How do you avoid printing a node twice if it is both on the boundary and a leaf?,Print it only in leaf traversal,Print it only in boundary traversal,Print it twice,Skip the node,B
Boundary traversal,Medium,"In the standard boundary traversal algorithm, what is the correct order of the three steps?","Leaves, left boundary, right boundary","Left boundary, leaves, right boundary","Right boundary, leaves, left boundary","Left boundary, right boundary, leaves",B
Boundary traversal,Medium,"For a complete binary tree, which nodes are NOT included in boundary traversal?",Internal nodes not on boundary,All nodes are included,Only root and leaves,Left boundary nodes,A
Boundary traversal,Medium,"In the right boundary traversal (bottom-up), how is this typically implemented?",Using recursion and printing after recursive call,Using a stack,Using a queue,Using level order,B
Boundary traversal,Medium,What is the space complexity of the recursive boundary traversal algorithm?,O(n) (for recursion stack in worst case),O(1),O(log n),O(n log n),A
Boundary traversal,Medium,"If a tree has only a right child at each node (right-skewed), what is the boundary traversal output?",All nodes in order (root to leaves),All nodes in reverse order,Only root and leaves,None of these,D
Boundary traversal,Medium,"In boundary traversal, when traversing leaves, which traversal is typically used?",Inorder,Preorder,Postorder,Level order,A
Boundary traversal,Hard,How does the algorithm ensure that the bottom-most left leaf is not printed twice (once in left boundary and once in leaves)?,Exclude leaves when traversing boundaries,Exclude boundaries when traversing leaves,Print leaves first,Use a visited set,A
Boundary traversal,Hard,"For a tree where the root has only a left child, and that left child has only a right child, which nodes are in the left boundary?",Root and left child,Root only,"Root, left child, and right child",Root and right child,A
Boundary traversal,Hard,"In the recursive approach for left boundary (top-down), what condition prevents printing a leaf node?","If node has no children, don't print","If node has children, print",Always print,If node is not root,A
Boundary traversal,Hard,"In boundary traversal of a tree with n nodes, what is the maximum number of nodes that can be printed?",n,n-1,n/2,height,A
Boundary traversal,Hard,How would you modify boundary traversal to print nodes in anti-clockwise direction starting from root?,This is the standard boundary traversal,Reverse the order of leaves,Reverse the order of right boundary,Start from right boundary first,A
Boundary traversal,Hard,"For a tree that is a single path (each node has one child), how many nodes are in the boundary traversal output?",All nodes,Half the nodes,Two nodes (root and leaf),Only the root,A
Boundary traversal,Hard,"In boundary traversal, why is it important to traverse the left boundary before the leaves?",To maintain anti-clockwise order,To avoid duplicates,To reduce complexity,It doesn't matter,A
Boundary traversal,Hard,What happens if we include the root in the leaf traversal step?,Root will be printed twice,Root will be skipped,No effect,Leaves will be printed twice,A
Boundary traversal,Hard,"In a tree with no left subtree, how is the left boundary traversal implemented?",It is skipped entirely,It prints the root only,It prints the right boundary instead,It prints the leaves,A
Boundary traversal,Hard,What is the primary challenge in implementing boundary traversal iteratively?,Managing the bottom-up right boundary without recursion,Finding leaf nodes,Traversing left boundary,Avoiding duplicates,A
"BFS, DFS",Easy,What does BFS stand for?,Best First Search,Breadth-First Search,Back-First Search,Binary-First Search,B
"BFS, DFS",Easy,What does DFS stand for?,Depth-First Search,Double-First Search,Dynamic-First Search,Direct-First Search,A
"BFS, DFS",Easy,Which data structure is primarily used for BFS traversal?,Stack,Queue,Priority Queue,Heap,B
"BFS, DFS",Easy,Which data structure is primarily used for DFS traversal?,Stack,Queue,Priority Queue,Array,A
"BFS, DFS",Easy,"In BFS, how are vertices visited?",Level by level,Depth-wise,Randomly,In reverse order,A
"BFS, DFS",Easy,"In DFS, how are vertices visited?",Level by level,Going as deep as possible along each branch,In numerical order,In reverse order,B
"BFS, DFS",Easy,What is the time complexity of BFS on a graph with V vertices and E edges (using adjacency list)?,O(V),O(E),O(V + E),O(V * E),C
"BFS, DFS",Easy,What is the time complexity of DFS on a graph with V vertices and E edges (using adjacency list)?,O(V),O(E),O(V + E),O(V * E),C
"BFS, DFS",Easy,BFS can be used to find the shortest path in which type of graph?,Weighted graph,Unweighted graph,Directed acyclic graph,Any graph,B
"BFS, DFS",Easy,Which traversal uses a stack either explicitly or via recursion?,BFS,DFS,Both BFS and DFS,Neither,B
"BFS, DFS",Medium,"In BFS, what is the purpose of the ""visited"" array?",To store vertex values,To avoid processing a vertex more than once,To calculate distances,To find cycles,B
"BFS, DFS",Medium,"In an undirected graph, what does a back edge during DFS indicate?",A bridge,A cycle,A cross edge,A tree edge,B
"BFS, DFS",Medium,Which of the following problems cannot be solved using DFS?,Detecting cycles in a graph,Finding connected components,Finding shortest path in unweighted graph,Topological sorting,C
"BFS, DFS",Medium,Which of the following problems cannot be solved using BFS?,Detecting cycles in a graph,Finding connected components,Finding shortest path in unweighted graph,None of these,D
"BFS, DFS",Medium,What is the space complexity of BFS in the worst case?,O(V),O(E),O(V + E),O(log V),A
"BFS, DFS",Medium,What is the space complexity of DFS in the worst case (recursive)?,O(V),O(E),O(V + E),O(log V),A
"BFS, DFS",Medium,"In DFS of a graph with V vertices, what is the maximum depth of the recursion stack in the worst case?",V,V/2,log V,E,A
"BFS, DFS",Medium,"For a complete graph (dense), what is the time complexity of BFS using adjacency matrix?",O(V + E),O(V^2),O(V log V),O(E log V),B
"BFS, DFS",Medium,Which traversal uses a queue and processes vertices in FIFO order?,BFS,DFS,Both,Neither,A
"BFS, DFS",Medium,Which traversal uses a stack and processes vertices in LIFO order?,BFS,DFS,Both,Neither,B
"BFS, DFS",Hard,"In a directed acyclic graph (DAG), which traversal can be used to perform topological sorting?",BFS only,DFS only,Both BFS and DFS,Neither,C
"BFS, DFS",Hard,How can BFS be modified to find connected components in an undirected graph?,Run BFS from each unvisited vertex,Run BFS once,Use a stack instead of queue,Reverse the graph,A
"BFS, DFS",Hard,What is the main advantage of iterative DFS over recursive DFS?,Lower time complexity,Avoids stack overflow for deep graphs,Uses less memory,Faster traversal,B
"BFS, DFS",Hard,"In BFS, if the graph is a tree, what is the relationship between BFS order and level order?",They are identical,They are opposite,BFS includes more nodes,No relation,A
"BFS, DFS",Hard,"For finding if there is a path between two nodes, which algorithm is generally more space-efficient?",BFS,DFS,Both are equally efficient,Depends on graph structure,B
"BFS, DFS",Hard,"In an infinite graph, which algorithm might fail to find a goal node if it exists?",BFS,DFS,Both,Neither,B
"BFS, DFS",Hard,What modification is needed in DFS to detect cycles in a directed graph?,Track recursion stack in addition to visited,Use a queue,Use BFS instead,No modification needed,A
"BFS, DFS",Hard,"In BFS, if we replace the queue with a stack, what traversal do we get?",DFS,Another BFS,Level order,Reverse BFS,A
"BFS, DFS",Hard,"For a graph represented as an adjacency list, what is the time complexity to find all vertices reachable from a source using BFS?",O(V + E),O(V log V),O(E log V),O(V^2),A
"BFS, DFS",Hard,Which of the following is NOT an application of DFS?,Solving mazes,Finding strongly connected components,Finding shortest path in unweighted graph,Path finding,C
Dial's Algorithm,Easy,Dial's algorithm is an optimization of which classic shortest path algorithm?,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Dijkstra's Algorithm,A* Search Algorithm,C
Dial's Algorithm,Easy,What specific constraint on edge weights makes Dial's algorithm most effective?,Weights must be negative,Weights must be floating point numbers,Weights must be small integers,Weights must be all equal,C
Dial's Algorithm,Easy,What data structure does Dial's algorithm use instead of a priority queue?,A stack,An array of buckets,A binary heap,A Fibonacci heap,B
Dial's Algorithm,Easy,"In Dial's algorithm, what does each bucket represent?",Vertices with the same distance from source,Vertices with the same degree,Vertices with the same color,Edges with the same weight,A
